"","x"
"1","Xkr4"
"2","Rp1"
"3","Sox17"
"4","Mrpl15"
"5","Lypla1"
"6","RP24-426M1.3"
"7","Tcea1"
"8","Rgs20"
"9","Atp6v1h"
"10","Oprk1"
"11","Npbwr1"
"12","Rb1cc1"
"13","Fam150a"
"14","St18"
"15","Pcmtd1"
"16","Sntg1"
"17","Rrs1"
"18","Adhfe1"
"19","3110035E14Rik"
"20","Mybl1"
"21","Vcpip1"
"22","Sgk3"
"23","Mcmdc2"
"24","Tcf24"
"25","Ppp1r42"
"26","Cops5"
"27","Cspp1"
"28","Arfgef1"
"29","Cpa6"
"30","Prex2"
"31","A830018L16Rik"
"32","Sulf1"
"33","Slco5a1"
"34","Prdm14"
"35","Ncoa2"
"36","Tram1"
"37","Lactb2"
"38","Xkr9"
"39","Eya1"
"40","Msc"
"41","Trpa1"
"42","Kcnb2"
"43","Terf1"
"44","Sbspon"
"45","4930444P10Rik"
"46","Rpl7"
"47","Rdh10"
"48","Stau2"
"49","Ube2w"
"50","Tceb1"
"51","Tmem70"
"52","Ly96"
"53","Jph1"
"54","Gdap1"
"55","Pi15"
"56","Crispld1"
"57","Crisp4"
"58","Defb18"
"59","Defb41"
"60","Tfap2d"
"61","Tfap2b"
"62","Pkhd1"
"63","Il17a"
"64","Il17f"
"65","Mcm3"
"66","Paqr8"
"67","Efhc1"
"68","Tram2"
"69","Tmem14a"
"70","Gsta3"
"71","Khdc1a"
"72","Khdc1c"
"73","Khdc1b"
"74","Kcnq5"
"75","Rims1"
"76","4933415F23Rik"
"77","Ogfrl1"
"78","B3gat2"
"79","Smap1"
"80","1110058L19Rik"
"81","Fam135a"
"82","Col9a1"
"83","Col19a1"
"84","Lmbrd1"
"85","Bai3"
"86","4931408C20Rik"
"87","Gm597"
"88","Phf3"
"89","Ptp4a1"
"90","4931428L18Rik"
"91","Lgsn"
"92","Pih1d3"
"93","Khdrbs2"
"94","Gm5415"
"95","Prim2"
"96","Rab23"
"97","Bag2"
"98","Zfp451"
"99","Bend6"
"100","Dst"
"101","AC123072.1"
"102","DST"
"103","Ccdc115"
"104","Imp4"
"105","Ptpn18"
"106","Prss39"
"107","Cfc1"
"108","Prss40"
"109","Amer3"
"110","Arhgef4"
"111","Fam168b"
"112","Plekhb2"
"113","Hs6st1"
"114","Uggt1"
"115","Neurl3"
"116","Arid5a"
"117","Kansl3"
"118","Fer1l5"
"119","Lman2l"
"120","Cnnm4"
"121","Cnnm3"
"122","Ankrd23"
"123","ANKRD23"
"124","Ankrd39"
"125","Sema4c"
"126","Fam178b"
"127","Cox5b"
"128","Actr1b"
"129","Zap70"
"130","Tmem131"
"131","Vwa3b"
"132","Cnga3"
"133","Inpp4a"
"134","Coa5"
"135","Unc50"
"136","Mgat4a"
"137","2010300C02Rik"
"138","Tsga10"
"139","Lipt1"
"140","Mitd1"
"141","Mrpl30"
"142","Lyg2"
"143","Lyg1"
"144","Txndc9"
"145","Eif5b"
"146","Rev1"
"147","Aff3"
"148","Lonrf2"
"149","Chst10"
"150","Nms"
"151","Pdcl3"
"152","Npas2"
"153","Rpl31"
"154","Tbc1d8"
"155","Cnot11"
"156","Rnf149"
"157","Creg2"
"158","Rfx8"
"159","Gm3646"
"160","Map4k4"
"161","Il1r2"
"162","Il1r1"
"163","Il1rl2"
"164","Il1rl1"
"165","Il18r1"
"166","Il18rap"
"167","Slc9a4"
"168","Slc9a2"
"169","Mfsd9"
"170","Tmem182"
"171","Pou3f3"
"172","Mrps9"
"173","Gpr45"
"174","Tgfbrap1"
"175","AI597479"
"176","Fhl2"
"177","Nck2"
"178","1500015O10Rik"
"179","Uxs1"
"180","Tpp2"
"181","Mettl21c"
"182","Gm8251"
"183","Tex30"
"184","Kdelc1"
"185","Bivm"
"186","Ercc5"
"187","Mettl21e"
"188","Gulp1"
"189","Col3a1"
"190","Col5a2"
"191","Wdr75"
"192","Gm5269"
"193","Slc40a1"
"194","Dnah7b"
"195","Dnah7c"
"196","Slc39a10"
"197","Tmeff2"
"198","Sdpr"
"199","Nabp1"
"200","Myo1b"
"201","Stat4"
"202","Stat1"
"203","Gls"
"204","Nab1"
"205","Tmem194b"
"206","Mfsd6"
"207","Inpp1"
"208","Hibch"
"209","1700019D03Rik"
"210","Mstn"
"211","1700019A02Rik"
"212","Pms1"
"213","Ormdl1"
"214","Gm28778"
"215","Osgepl1"
"216","Gm28551"
"217","Asnsd1"
"218","Dnah7a"
"219","Stk17b"
"220","Hecw2"
"221","Ccdc150"
"222","Gtf3c3"
"223","Pgap1"
"224","Ankrd44"
"225","Sf3b1"
"226","Coq10b"
"227","Hspd1"
"228","Hspe1"
"229","Mob4"
"230","Rftn2"
"231","Mars2"
"232","Boll"
"233","BOLL"
"234","Plcl1"
"235","Hsfy2"
"236","Satb2"
"237","1700066M21Rik"
"238","Tyw5"
"239","9430016H08Rik"
"240","Spats2l"
"241","Kctd18"
"242","Sgol2"
"243","Aox1"
"244","Aox3"
"245","Aox4"
"246","Aox2"
"247","Bzw1"
"248","Clk1"
"249","Ppil3"
"250","Nif3l1"
"251","Orc2"
"252","Fam126b"
"253","Ndufb3"
"254","Als2cr12"
"255","Cflar"
"256","Casp8"
"257","Trak2"
"258","Stradb"
"259","Als2cr11"
"260","Tmem237"
"261","Mpp4"
"262","Als2"
"263","Cdk15"
"264","Fzd7"
"265","Gm973"
"266","Sumo1"
"267","Nop58"
"268","Bmpr2"
"269","Fam117b"
"270","Ica1l"
"271","Wdr12"
"272","Carf"
"273","Nbeal1"
"274","Cyp20a1"
"275","Abi2"
"276","Raph1"
"277","Cd28"
"278","Ctla4"
"279","Icos"
"280","Pard3b"
"281","Nrp2"
"282","Ino80d"
"283","Ndufs1"
"284","Eef1b2"
"285","Gpr1"
"286","Zdbf2"
"287","Adam23"
"288","Dytn"
"289","Mdh1b"
"290","Fastkd2"
"291","4933402D24Rik"
"292","Klf7"
"293","Creb1"
"294","Mettl21a"
"295","Ccnyl1"
"296","Fzd5"
"297","Plekhm3"
"298","Akr1cl"
"299","Cryge"
"300","Crygd"
"301","Crygc"
"302","Crygb"
"303","Cryga"
"304","Gm28845"
"305","D630023F18Rik"
"306","Idh1"
"307","Pikfyve"
"308","Pth2r"
"309","Crygf"
"310","Map2"
"311","Unc80"
"312","Rpe"
"313","Kansl1l"
"314","Acadl"
"315","Myl1"
"316","Lancl1"
"317","Cps1"
"318","Erbb4"
"319","Ikzf2"
"320","Spag16"
"321","Vwc2l"
"322","Bard1"
"323","Abca12"
"324","Atic"
"325","Fn1"
"326","Mreg"
"327","Pecr"
"328","Tmem169"
"329","Xrcc5"
"330","March4"
"331","Smarcal1"
"332","Ankar"
"333","Rpl37a"
"334","Igfbp2"
"335","Igfbp5"
"336","Tnp1"
"337","Tns1"
"338","Rufy4"
"339","Cxcr2"
"340","Cxcr1"
"341","Arpc2"
"342","Gpbar1"
"343","Aamp"
"344","Pnkd"
"345","Tmbim1"
"346","Catip"
"347","Slc11a1"
"348","Ctdsp1"
"349","Vil1"
"350","Usp37"
"351","Rqcd1"
"352","Plcd4"
"353","Zfp142"
"354","Bcs1l"
"355","Rnf25"
"356","Stk36"
"357","Ttll4"
"358","Cyp27a1"
"359","Prkag3"
"360","Wnt6"
"361","Wnt10a"
"362","Cdk5r2"
"363","Fev"
"364","Cryba2"
"365","Ccdc108"
"366","Ihh"
"367","Nhej1"
"368","Slc23a3"
"369","Cnppd1"
"370","Fam134a"
"371","Zfand2b"
"372","Abcb6"
"373","Atg9a"
"374","Ankzf1"
"375","Glb1l"
"376","Stk16"
"377","Tuba4a"
"378","A630095N17Rik"
"379","Dnajb2"
"380","Ptprn"
"381","Resp18"
"382","Dnpep"
"383","Des"
"384","Speg"
"385","Gmppa"
"386","Asic4"
"387","Chpf"
"388","Obsl1"
"389","Tmem198"
"390","Inha"
"391","Stk11ip"
"392","Slc4a3"
"393","Epha4"
"394","Pax3"
"395","Sgpp2"
"396","Farsb"
"397","BC035947"
"398","Mogat1"
"399","Acsl3"
"400","Utp14b"
"401","Kcne4"
"402","Scg2"
"403","Ap1s3"
"404","Wdfy1"
"405","Mrpl44"
"406","Serpine2"
"407","Fam124b"
"408","Cul3"
"409","Dock10"
"410","Nyap2"
"411","Irs1"
"412","Gm9747"
"413","Rhbdd1"
"414","Col4a4"
"415","Col4a3"
"416","Mff"
"417","Tm4sf20"
"418","Agfg1"
"419","Slc19a3"
"420","Krtap28-13"
"421","Ccl20"
"422","Daw1"
"423","Sphkap"
"424","Pid1"
"425","Dner"
"426","Trip12"
"427","Fbxo36"
"428","Slc16a14"
"429","C130026I21Rik"
"430","A530032D15Rik"
"431","Gm10553"
"432","G530012D18Rik"
"433","Sp110"
"434","Sp140"
"435","Sp100"
"436","A630001G21Rik"
"437","Cab39"
"438","Itm2c"
"439","4933407L21Rik"
"440","Gpr55"
"441","Spata3"
"442","2810459M11Rik"
"443","Psmd1"
"444","Htr2b"
"445","Gm21972"
"446","Armc9"
"447","B3gnt7"
"448","Ncl"
"449","Nmur1"
"450","1700019O17Rik"
"451","Ptma"
"452","Pde6d"
"453","Cops7b"
"454","Nppc"
"455","Dis3l2"
"456","Alppl2"
"457","Alpi"
"458","Akp3"
"459","Ecel1"
"460","Prss56"
"461","Chrnd"
"462","Chrng"
"463","Eif4e2"
"464","Efhd1"
"465","Gigyf2"
"466","Kcnj13"
"467","3110079O15Rik"
"468","Ngef"
"469","Neu2"
"470","Inpp5d"
"471","Atg16l1"
"472","Sag"
"473","Dgkd"
"474","Usp40"
"475","Ugt1a10"
"476","Ugt1a9"
"477","Ugt1a8"
"478","Ugt1a7c"
"479","Ugt1a6b"
"480","Ugt1a6a"
"481","Ugt1a5"
"482","Ugt1a2"
"483","Dnajb3"
"484","Ugt1a1"
"485","Mroh2a"
"486","Hjurp"
"487","Trpm8"
"488","Spp2"
"489","Glrp1"
"490","Arl4c"
"491","Sh3bp4"
"492","Agap1"
"493","Gbx2"
"494","Asb18"
"495","Iqca"
"496","Ackr3"
"497","Cops8"
"498","Col6a3"
"499","Mlph"
"500","Prlh"
"501","Rab17"
"502","Lrrfip1"
"503","Rbm44"
"504","Ramp1"
"505","Ube2f"
"506","Scly"
"507","Espnl"
"508","Klhl30"
"509","Fam132b"
"510","Ilkap"
"511","Hes6"
"512","Per2"
"513","Traf3ip1"
"514","Asb1"
"515","Twist2"
"516","Hdac4"
"517","Ndufa10"
"518","Olfr1416"
"519","Olfr1415"
"520","Olfr1414"
"521","Olfr1413"
"522","Olfr1412"
"523","Olfr1411"
"524","Olfr1410"
"525","Olfr12"
"526","Myeov2"
"527","Otos"
"528","Gpc1"
"529","Ankmy1"
"530","Dusp28"
"531","Rnpepl1"
"532","Capn10"
"533","Gpr35"
"534","Aqp12"
"535","Kif1a"
"536","Agxt"
"537","2310007B03Rik"
"538","E030010N08Rik"
"539","Sned1"
"540","Mterf4"
"541","Pask"
"542","Ppp1r7"
"543","Ano7"
"544","Hdlbp"
"545","Sept2"
"546","Farp2"
"547","Stk25"
"548","Bok"
"549","Thap4"
"550","Atg4b"
"551","Dtymk"
"552","Ing5"
"553","D2hgdh"
"554","Gal3st2"
"555","Gm9994"
"556","Gm6086"
"557","Neu4"
"558","Pdcd1"
"559","Fam174a"
"560","St8sia4"
"561","Slco4c1"
"562","Slco6c1"
"563","D1Ertd622e"
"564","Ppip5k2"
"565","Gin1"
"566","Pam"
"567","Slco6d1"
"568","Cntnap5b"
"569","Cdh20"
"570","Rnf152"
"571","Pign"
"572","2310035C23Rik"
"573","Tnfrsf11a"
"574","Zcchc2"
"575","Phlpp1"
"576","Bcl2"
"577","Kdsr"
"578","Vps4b"
"579","Serpinb5"
"580","Serpinb12"
"581","Serpinb13"
"582","Serpinb3a"
"583","Serpinb3d"
"584","Serpinb3b"
"585","Serpinb3c"
"586","Serpinb11"
"587","Serpinb7"
"588","Serpinb2"
"589","AC148982.1"
"590","Serpinb8"
"591","Cdh7"
"592","Cdh19"
"593","Dsel"
"594","Cntnap5a"
"595","Gm19965"
"596","Zfp813-ps"
"597","Gm28363"
"598","B020011L13Rik"
"599","Gm28360"
"600","Gm28168"
"601","Gm7145"
"602","Gm29106"
"603","Tsn"
"604","Nifk"
"605","Clasp1"
"606","Tfcp2l1"
"607","Gli2"
"608","Inhbb"
"609","Ralb"
"610","Tmem185b"
"611","Epb4.1l5"
"612","Ptpn4"
"613","Tmem177"
"614","Cfap221"
"615","Sctr"
"616","Tmem37"
"617","Dbi"
"618","3110009E18Rik"
"619","Steap3"
"620","C1ql2"
"621","Marco"
"622","En1"
"623","Insig2"
"624","Ccdc93"
"625","Htr5b"
"626","Ddx18"
"627","Dpp10"
"628","Actr3"
"629","Slc35f5"
"630","Gpr39"
"631","Lypd1"
"632","Nckap5"
"633","Mgat5"
"634","Tmem163"
"635","Acmsd"
"636","Ccnt2"
"637","Map3k19"
"638","Rab3gap1"
"639","Zranb3"
"640","R3hdm1"
"641","Ubxn4"
"642","Lct"
"643","Mcm6"
"644","Dars"
"645","Cxcr4"
"646","Thsd7b"
"647","Daf2"
"648","Cd55"
"649","Zp3r"
"650","C4bp"
"651","Gm29427"
"652","Pfkfb2"
"653","Yod1"
"654","AA986860"
"655","Fcamr"
"656","Pigr"
"657","Faim3"
"658","Il24"
"659","Il20"
"660","Il19"
"661","Il10"
"662","Mapkapk2"
"663","Dyrk3"
"664","Eif2d"
"665","Rassf5"
"666","Ikbke"
"667","Srgap2"
"668","Fam72a"
"669","Avpr1b"
"670","Ctse"
"671","5430435G22Rik"
"672","Slc26a9"
"673","Pm20d1"
"674","Slc41a1"
"675","Rab29"
"676","Nucks1"
"677","Slc45a3"
"678","Elk4"
"679","Mfsd4"
"680","Cdk18"
"681","Lemd1"
"682","Gm10188"
"683","Klhdc8a"
"684","Nuak2"
"685","Tmcc2"
"686","Dstyk"
"687","Rbbp5"
"688","Tmem81"
"689","Cntn2"
"690","Nfasc"
"691","Lrrn2"
"692","Mdm4"
"693","Pik3c2b"
"694","Ppp1r15b"
"695","Plekha6"
"696","Golt1a"
"697","Kiss1"
"698","Gm28040"
"699","Ren1"
"700","Etnk2"
"701","Sox13"
"702","Snrpe"
"703","Zc3h11a"
"704","Zbed6"
"705","Zbed6"
"706","Lax1"
"707","Atp2b4"
"708","Optc"
"709","Prelp"
"710","Fmod"
"711","Btg2"
"712","Chit1"
"713","Chil1"
"714","Mybph"
"715","Adora1"
"716","Myog"
"717","Ppfia4"
"718","Tmem183a"
"719","4933406M09Rik"
"720","Cyb5r1"
"721","Adipor1"
"722","Klhl12"
"723","Rabif"
"724","Mgat4e"
"725","Kdm5b"
"726","Syt2"
"727","Ppp1r12b"
"728","Ube2t"
"729","Lgr6"
"730","Ptpn7"
"731","Arl8a"
"732","Gpr37l1"
"733","Elf3"
"734","Rnpep"
"735","Timm17a"
"736","Lmod1"
"737","Shisa4"
"738","Ipo9"
"739","Nav1"
