"","Cluster","cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","C1","C1","GO:0140014","mitotic nuclear division","66/1236","256/23174",1.71293634330664e-27,9.19846816355663e-24,6.64078373936667e-24,"223921/11789/20878/20877/66165/56208/11799/12159/77744/12235/12237/268697/107995/52563/23834/67849/52276/12617/229841/12649/12704/66934/13614/105988/67141/14184/209334/16002/16319/16551/381293/240641/110033/71819/16563/73804/16569/51944/16211/17295/17345/105837/17865/68298/78658/54392/215387/67052/59126/381318/68501/18226/108907/30939/26934/19384/19385/24061/13006/70099/50850/70385/21335/72119/68612/74335",66
"2","C1","C1","GO:0048285","organelle fission","86/1236","450/23174",1.82215216251475e-25,4.89247855635211e-22,3.53209811291676e-22,"223921/11789/20878/20877/66165/56208/11799/12159/77744/237911/12235/12237/12317/12323/268697/12447/107995/52563/23834/67849/52276/12617/229841/12649/12704/70383/66934/13614/268465/105988/211651/67141/14184/60530/209334/16002/16319/16542/16551/381293/240641/110033/71819/16563/73804/16569/51944/16211/67121/17295/239555/17345/105837/56428/67472/17865/68298/78658/54392/215387/72787/67052/59126/381318/68501/18226/108907/19017/30939/26934/19361/19384/19385/24061/13006/70099/50850/70385/64707/21335/21973/21974/235559/72119/68612/74335",86
"3","C1","C1","GO:0007059","chromosome segregation","70/1236","313/23174",4.40293132776873e-25,7.88124707670602e-22,5.68982318602534e-22,"11789/20877/56208/11799/12189/237911/12235/12237/268697/12447/107995/52563/23834/108912/67849/52276/12617/229841/108000/26886/12704/12387/13205/66934/13605/268465/105988/211651/67141/14156/209334/16319/381293/110033/71819/73804/51944/16211/17345/72199/68298/78658/54392/215387/72787/67052/59126/381318/68501/18226/108907/70645/30939/26934/58186/19384/108911/66468/66140/219114/24061/13006/70099/70385/20815/21335/21969/21973/21974/74335",70
"4","C1","C1","GO:0000280","nuclear division","80/1236","403/23174",7.06408101731298e-25,9.48352876574268e-22,6.84658168072729e-22,"223921/11789/20878/20877/66165/56208/11799/12159/77744/237911/12235/12237/12317/12323/268697/12447/107995/52563/23834/67849/52276/12617/229841/12649/12704/66934/13614/268465/105988/211651/67141/14184/60530/209334/16002/16319/16551/381293/240641/110033/71819/16563/73804/16569/51944/16211/67121/17295/17345/105837/17865/68298/78658/54392/215387/72787/67052/59126/381318/68501/18226/108907/30939/26934/19361/19384/19385/24061/13006/70099/50850/70385/64707/21335/21973/21974/235559/72119/68612/74335",80
"5","C1","C1","GO:0006281","DNA repair","86/1236","464/23174",1.64347718310698e-24,1.7650944946569e-21,1.27430030850169e-21,"56456/211064/11792/77622/66165/12189/237911/12544/71702/67849/27221/110749/12649/269582/13194/104721/110052/66233/76843/268465/227867/319955/97827/26909/14048/211651/67030/14156/14165/60344/60530/14235/209334/272551/15361/15364/15289/15312/59026/110033/16588/16881/17216/17215/17217/17218/17219/17220/71567/240087/72199/212377/18148/68501/98415/26430/11545/75317/55982/208084/18971/18973/30939/58186/19361/623474/56438/68275/54380/24061/13006/70099/71726/20833/114741/20937/77011/21974/235559/21849/27223/94232/18140/22224/218973/74335",86
"6","C1","C1","GO:0006260","DNA replication","59/1236","243/23174",2.95886340823252e-23,2.64818275036811e-20,1.91184104079305e-20,"12301/12447/12544/23834/27221/110749/27214/76843/52679/108961/268465/67141/14156/14165/14182/209334/69270/272551/57441/15903/67444/16588/16881/71735/70024/17216/17215/17217/17218/17219/17220/71567/17295/212377/50927/18148/98415/56452/208084/18971/18973/19076/19353/19361/19646/19718/106344/68275/20133/20135/54380/24061/13006/20833/66592/114741/77011/21969/218973",59
"7","C1","C1","GO:0007346","regulation of mitotic cell cycle","85/1236","492/23174",4.00344328335041e-22,2.97100140582725e-19,2.14489820203112e-19,"11504/11789/11792/20877/56208/11799/12159/77744/12189/56710/12235/12237/268697/12443/12447/52563/12530/12544/23834/67849/12567/229841/108000/12649/12704/54124/269582/52468/12387/27214/233805/13194/13205/76843/52679/13614/268465/14056/67141/14165/14182/14184/17300/209334/15289/15902/16002/16319/16551/381293/240641/244329/17536/17295/17345/105837/67052/59126/68501/18226/108907/57913/18767/53317/19192/15170/30939/19385/108911/19684/67874/235072/26941/24061/13006/64074/70385/21335/77011/21973/21974/235559/72119/68612/74335",85
"8","C1","C1","GO:0000819","sister chromatid segregation","49/1236","178/23174",4.4260728578432e-22,2.97100140582725e-19,2.14489820203112e-19,"11789/20877/56208/11799/12235/12237/268697/107995/52563/23834/67849/52276/12617/229841/12704/12387/66934/105988/67141/14156/209334/16319/381293/110033/71819/73804/51944/16211/68298/78658/54392/215387/67052/59126/381318/68501/18226/108907/30939/26934/19384/24061/13006/70099/70385/21335/21973/21974/74335",49
"9","C1","C1","GO:0000070","mitotic sister chromatid segregation","44/1236","144/23174",5.92681463189348e-22,3.53633273036311e-19,2.55303605722382e-19,"11789/20877/56208/11799/12235/12237/268697/107995/52563/23834/67849/52276/12617/229841/12704/66934/105988/67141/209334/16319/381293/110033/71819/73804/51944/16211/68298/78658/54392/215387/67052/59126/381318/68501/18226/108907/30939/26934/19384/24061/70099/70385/21335/74335",44
"10","C1","C1","GO:0044772","mitotic cell cycle phase transition","70/1236","355/23174",9.89084700673002e-22,5.31138484261402e-19,3.8345252132407e-19,"11504/11789/11792/59046/20877/11799/12189/12235/12237/78832/12323/268697/12443/12447/12449/12453/240665/52563/12530/12544/23834/67849/12567/229841/108000/12649/12704/54124/269582/52468/27214/233805/13194/13205/76843/13559/52679/14056/67141/14165/14235/209334/15902/77035/381293/67121/105837/50927/67052/59126/68501/57913/18767/53317/18973/19192/15170/108911/19684/69581/235072/27401/50850/70385/21335/77011/235559/636931/68612/74335",70
