"","Cluster","cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","C1","C1","GO:0140014","mitotic nuclear division","66/1236","256/23174",1.71293634330664e-27,9.19846816355663e-24,6.64078373936667e-24,"223921/11789/20878/20877/66165/56208/11799/12159/77744/12235/12237/268697/107995/52563/23834/67849/52276/12617/229841/12649/12704/66934/13614/105988/67141/14184/209334/16002/16319/16551/381293/240641/110033/71819/16563/73804/16569/51944/16211/17295/17345/105837/17865/68298/78658/54392/215387/67052/59126/381318/68501/18226/108907/30939/26934/19384/19385/24061/13006/70099/50850/70385/21335/72119/68612/74335",66
"2","C1","C1","GO:0048285","organelle fission","86/1236","450/23174",1.82215216251475e-25,4.89247855635211e-22,3.53209811291676e-22,"223921/11789/20878/20877/66165/56208/11799/12159/77744/237911/12235/12237/12317/12323/268697/12447/107995/52563/23834/67849/52276/12617/229841/12649/12704/70383/66934/13614/268465/105988/211651/67141/14184/60530/209334/16002/16319/16542/16551/381293/240641/110033/71819/16563/73804/16569/51944/16211/67121/17295/239555/17345/105837/56428/67472/17865/68298/78658/54392/215387/72787/67052/59126/381318/68501/18226/108907/19017/30939/26934/19361/19384/19385/24061/13006/70099/50850/70385/64707/21335/21973/21974/235559/72119/68612/74335",86
"5","C1","C1","GO:0006281","DNA repair","86/1236","464/23174",1.64347718310698e-24,1.7650944946569e-21,1.27430030850169e-21,"56456/211064/11792/77622/66165/12189/237911/12544/71702/67849/27221/110749/12649/269582/13194/104721/110052/66233/76843/268465/227867/319955/97827/26909/14048/211651/67030/14156/14165/60344/60530/14235/209334/272551/15361/15364/15289/15312/59026/110033/16588/16881/17216/17215/17217/17218/17219/17220/71567/240087/72199/212377/18148/68501/98415/26430/11545/75317/55982/208084/18971/18973/30939/58186/19361/623474/56438/68275/54380/24061/13006/70099/71726/20833/114741/20937/77011/21974/235559/21849/27223/94232/18140/22224/218973/74335",86
"24","C1","C1","GO:0006403","RNA localization","40/1236","169/23174",8.69912057057246e-16,1.94642822766559e-13,1.40521320444817e-13,"223921/24015/11838/12461/432508/70640/68278/53817/72162/245474/276770/50912/23881/74412/15382/53379/140486/319765/140488/68092/72787/230082/55989/18148/103468/59015/18226/71805/56698/107939/68879/19384/109095/110379/225027/21454/107829/64930/103573/72322",40
"48","C1","C1","GO:0050657","nucleic acid transport","32/1236","145/23174",4.97184044922984e-12,5.40228540403855e-10,3.90015037598235e-10,"223921/24015/11838/432508/68278/53817/276770/23881/74412/15382/53379/140486/319765/140488/68092/72787/230082/18148/103468/59015/18226/71805/56698/107939/19384/109095/110379/225027/107829/64930/103573/72322",32
"78","C1","C1","GO:0022613","ribonucleoprotein complex biogenesis","58/1236","427/23174",5.85185615633061e-11,4.028777892243e-09,2.90855414625717e-09,"24015/320790/72068/231464/432508/56200/53817/13205/245474/14000/13665/13669/55944/217869/50912/27041/23881/237221/14786/217995/15519/15516/226432/29806/67070/67678/75593/18432/17975/100608/230082/67134/55989/18148/27374/214572/68879/56195/110816/19384/19656/70285/100503670/67223/72462/75062/320632/20641/20815/20937/108143/64930/382038/225348/72515/67936/73674/103573",58
"100","C1","C1","GO:1905818","regulation of chromosome separation","19/1236","62/23174",2.71228650542356e-10,1.45649785341245e-08,1.05151065257631e-08,"11789/20877/11799/12235/12237/268697/52563/23834/229841/12704/67141/209334/67052/59126/68501/30939/70385/21335/74335",19
"111","C1","C1","GO:1905330","regulation of morphogenesis of an epithelium","25/1236","111/23174",6.6454444372132e-10,3.2149582547599e-08,2.32102151372747e-08,"230959/140577/12159/68588/12387/104156/14164/14165/14182/57265/14734/15234/21410/16869/17242/17295/18510/208177/19353/58198/72080/20319/20474/20682/93840",25
"112","C1","C1","GO:0050803","regulation of synapse structure or activity","42/1236","275/23174",7.52397724214053e-10,3.60747837413345e-08,2.60439926530109e-08,"11603/11838/239027/12323/53872/12404/107995/12558/12564/20430/56320/72162/13640/112405/13838/13841/13845/104156/223254/399558/71436/14432/234267/15387/93842/545156/259277/16975/77579/18430/18530/56376/242662/20474/245450/20616/231637/22142/22154/22346/22631/241514",42
"130","C1","C1","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","34/1236","202/23174",2.44595435792575e-09,1.01036730015856e-07,7.29429141719881e-08,"11658/12404/12484/320873/320865/12558/12560/12561/12563/12564/53883/53870/241324/13052/233651/13640/13723/17075/69524/270120/71436/14464/93842/16579/219228/279653/18530/235472/19876/268902/237979/245450/23964/210801",34
