"","status","family","pval","qval","genes","num_cells_expressed"
"eGFP","OK","negbinomial.size",3.33230578187443e-36,4.37781672093753e-34,"eGFP",400
"Cdc45","OK","negbinomial.size",7.16452783165463e-13,1.79998057794479e-11,"Cdc45",92
"Scmh1","OK","negbinomial.size",0.000483654975431193,0.00343267110306033,"Scmh1",222
"Ngfr","OK","negbinomial.size",0.00312746088373457,0.0172846348228135,"Ngfr",43
"Gna12","OK","negbinomial.size",0.00352109024535493,0.0190966683169707,"Gna12",239
"Igsf5","OK","negbinomial.size",4.35550634882757e-07,5.50417295304743e-06,"Igsf5",20
"Ccnd2","OK","negbinomial.size",5.49109561492484e-06,5.8245330441911e-05,"Ccnd2",352
"Drp2","OK","negbinomial.size",4.83415117893161e-25,3.20885866677292e-23,"Drp2",129
"Tspan32","OK","negbinomial.size",9.12051876885677e-15,2.77175861958606e-13,"Tspan32",11
"Gmpr","OK","negbinomial.size",1.93913480279982e-14,5.76801135210174e-13,"Gmpr",117
"Mid2","OK","negbinomial.size",0.000961854435968884,0.00624339070840945,"Mid2",11
"Trim25","OK","negbinomial.size",1.30402113914569e-05,0.000128788681338336,"Trim25",77
"Cdh4","OK","negbinomial.size",1.86374816622389e-10,3.61624490344857e-09,"Cdh4",27
"Comt","OK","negbinomial.size",0.00249975933462646,0.014317422674073,"Comt",247
"Rnf17","OK","negbinomial.size",0.00362922960079486,0.0196193072118409,"Rnf17",13
"Tbrg4","OK","negbinomial.size",0.010127345792037,0.045616458974704,"Tbrg4",175
"Egfl6","OK","negbinomial.size",2.94171787835248e-15,9.32184569894006e-14,"Egfl6",61
"Cttnbp2","OK","negbinomial.size",0.00175557127685017,0.0105661673836806,"Cttnbp2",98
"Galnt1","OK","negbinomial.size",0.00666181162880212,0.0328454918930619,"Galnt1",290
"Hnrnpd","OK","negbinomial.size",0.000198818509823917,0.00156718690368703,"Hnrnpd",356
"Gm2a","OK","negbinomial.size",1.56496306054089e-23,9.39872100930558e-22,"Gm2a",372
"Hk2","OK","negbinomial.size",0.000639770434917055,0.00440195566021489,"Hk2",254
"Kat2b","OK","negbinomial.size",0.010992218635443,0.0487289495361009,"Kat2b",65
"Rpa1","OK","negbinomial.size",8.46423219469781e-05,0.000725209894290277,"Rpa1",220
"Serpinf1","OK","negbinomial.size",0.000716905883487141,0.00485586305184738,"Serpinf1",237
"Ddx3x","OK","negbinomial.size",0.0104846966132119,0.0468578999595424,"Ddx3x",394
"Car4","OK","negbinomial.size",7.85919806388635e-20,3.52740946554216e-18,"Car4",20
"Bcl11a","OK","negbinomial.size",1.68725845030862e-12,4.08439607971061e-11,"Bcl11a",104
"Mmp11","OK","negbinomial.size",0.00476370073451959,0.0246979618368113,"Mmp11",190
"Hoxa4","OK","negbinomial.size",0.000945382997029372,0.00614279771176426,"Hoxa4",20
"Slc7a7","OK","negbinomial.size",0.000193531388311279,0.00153125336849551,"Slc7a7",24
"Ilf2","OK","negbinomial.size",3.41143276961584e-05,0.000312909018839236,"Ilf2",388
"Epn2","OK","negbinomial.size",1.03398688969873e-11,2.34122848346146e-10,"Epn2",144
"Luzp1","OK","negbinomial.size",0.000503725026761094,0.00356508419613408,"Luzp1",220
"Col6a1","OK","negbinomial.size",0.00024643083533011,0.00189511322877034,"Col6a1",101
"Lgals9","OK","negbinomial.size",4.13408724011099e-11,8.64661828727692e-10,"Lgals9",40
"Ocrl","OK","negbinomial.size",0.00773909385792342,0.0369437743134482,"Ocrl",108
"Uhrf1","OK","negbinomial.size",2.44629586970779e-12,5.85439914777129e-11,"Uhrf1",248
"Lsr","OK","negbinomial.size",0.00160855763056452,0.00980054533172932,"Lsr",187
"Ckb","OK","negbinomial.size",0.0025260441521897,0.0144482851915721,"Ckb",57
"Efnb2","OK","negbinomial.size",0.00555197607311523,0.0281550149715036,"Efnb2",163
"Rnd2","OK","negbinomial.size",5.37387148920531e-07,6.69054957767595e-06,"Rnd2",101
"Fndc5","OK","negbinomial.size",5.43064862606827e-29,4.82333383605444e-27,"Fndc5",145
"Acp5","OK","negbinomial.size",3.83498003628547e-09,6.44653605735405e-08,"Acp5",39
"Ube2c","OK","negbinomial.size",7.48203728669487e-20,3.39436885826603e-18,"Ube2c",121
"Cct3","OK","negbinomial.size",0.000405007583368079,0.00293898483396905,"Cct3",364
"Kpnb1","OK","negbinomial.size",3.13261907093962e-05,0.000288173535541141,"Kpnb1",332
"Cyp51","OK","negbinomial.size",0.0011391001995681,0.00726305951312079,"Cyp51",180
"Tubb6","OK","negbinomial.size",5.76255814250358e-13,1.46822996552031e-11,"Tubb6",111
"Meox1","OK","negbinomial.size",3.82066650662526e-15,1.20165201949022e-13,"Meox1",17
"Col1a1","OK","negbinomial.size",1.87430779388709e-10,3.63114744953979e-09,"Col1a1",224
"Foxm1","OK","negbinomial.size",1.15578161244299e-07,1.58614991252786e-06,"Foxm1",93
"Nrip2","OK","negbinomial.size",0.000194544829235482,0.00153735054333423,"Nrip2",43
"Tubb5","OK","negbinomial.size",4.7688746120249e-10,8.84485979512618e-09,"Tubb5",423
"Stk38l","OK","negbinomial.size",0.00267568866038962,0.0151530244206708,"Stk38l",259
"Hoxc8","OK","negbinomial.size",0.00761946876748631,0.036513459759805,"Hoxc8",194
"Gstt1","OK","negbinomial.size",1.07764480756297e-07,1.48376160622098e-06,"Gstt1",69
"Gstt3","OK","negbinomial.size",0.000440360785306835,0.00316818609486012,"Gstt3",54
"Ubl3","OK","negbinomial.size",4.17953551068277e-09,7.00030569199616e-08,"Ubl3",315
"Cldn15","OK","negbinomial.size",0.00648449458607597,0.0320967212400275,"Cldn15",16
"Tcirg1","OK","negbinomial.size",0.00482563517591019,0.0249839535462148,"Tcirg1",76
"Tspan33","OK","negbinomial.size",0.000735695316294784,0.0049594949816177,"Tspan33",25
"Rin2","OK","negbinomial.size",2.78432755400316e-11,6.01964762550206e-10,"Rin2",177
"Pwp1","OK","negbinomial.size",2.4885331273793e-05,0.00023421925225752,"Pwp1",181
"Capns1","OK","negbinomial.size",1.5735355817448e-05,0.000153483609875989,"Capns1",319
"Folr1","OK","negbinomial.size",3.79029746690251e-19,1.62596026029165e-17,"Folr1",107
"Sept7","OK","negbinomial.size",0.00177274817392784,0.0106213301518185,"Sept7",411
"Aif1l","OK","negbinomial.size",2.44777356929706e-44,4.28768336888535e-42,"Aif1l",126
"Ltbp1","OK","negbinomial.size",0.000155312833498387,0.00125564452312926,"Ltbp1",288
"Ugp2","OK","negbinomial.size",0.00176036836798055,0.0105722694557004,"Ugp2",245
"Kcnh6","OK","negbinomial.size",4.17241967298299e-14,1.17461064543887e-12,"Kcnh6",16
"Grik3","OK","negbinomial.size",2.0808888189989e-07,2.77129564785788e-06,"Grik3",49
"Pnck","OK","negbinomial.size",1.18148571554411e-15,3.82074303703651e-14,"Pnck",52
"Tmem25","OK","negbinomial.size",0.00232795505594546,0.0134741483091254,"Tmem25",27
"Spag5","OK","negbinomial.size",4.97403075723192e-17,1.81833263507852e-15,"Spag5",86
"Ccne1","OK","negbinomial.size",1.13931753756513e-16,4.02495035959983e-15,"Ccne1",68
"Mybpc3","OK","negbinomial.size",1.28379541831708e-05,0.00012738967597022,"Mybpc3",11
"Acp2","OK","negbinomial.size",0.00052789106912932,0.00370699452330678,"Acp2",273
"Celf2","OK","negbinomial.size",0.00156123037706021,0.00954909675823634,"Celf2",151
"Stat6","OK","negbinomial.size",3.56609026324231e-07,4.5660436954327e-06,"Stat6",90
"Paxip1","OK","negbinomial.size",0.00332511861778612,0.0182490844245076,"Paxip1",188
"Mov10","OK","negbinomial.size",2.89728317458208e-05,0.000268482993371265,"Mov10",255
"Peg3","OK","negbinomial.size",2.85404064188654e-11,6.15301890179027e-10,"Peg3",413
"Zim1","OK","negbinomial.size",2.10926212558672e-09,3.64399648253624e-08,"Zim1",161
"Angptl4","OK","negbinomial.size",2.64300473907575e-08,3.94480186618027e-07,"Angptl4",148
"Dbf4","OK","negbinomial.size",5.47645055502805e-07,6.81153790927157e-06,"Dbf4",117
"Irf9","OK","negbinomial.size",0.00738367425151851,0.0356246746978391,"Irf9",97
"Slc25a42","OK","negbinomial.size",7.14795470561443e-08,1.00501677533121e-06,"Slc25a42",48
"Prpf6","OK","negbinomial.size",4.20420174182722e-05,0.000379823727563932,"Prpf6",248
