"","Cluster","Gene_Clusters","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","a","a","GO:0007059","chromosome segregation","88/1059","317/23210",1.77842565068159e-44,9.13932941885269e-41,6.79920206660582e-41,"13205/54141/66442/107995/54392/12189/23834/11799/67141/30939/66140/20877/21973/74335/219114/71988/19357/67203/26934/83815/67052/52563/16319/14156/67849/13006/108000/18005/66977/228421/108907/51944/12235/66934/13605/67037/12448/14211/72787/73804/20460/52276/12704/56150/58186/110033/18817/17345/72155/71819/211651/16571/237911/70099/215387/78658/66468/21335/68298/22137/268465/214444/12236/108911/12190/268697/381293/18226/381280/26886/229841/230936/210711/108912/70218/105988/381318/12237/56742/70385/70645/72124/16211/12447/105837/19384/24061/21974",88
"2","a","a","GO:0000819","sister chromatid segregation","62/1059","180/23210",1.06389184809052e-37,2.14081533992689e-34,1.59265909087667e-34,"54141/107995/54392/23834/11799/67141/30939/20877/21973/74335/71988/19357/26934/67052/52563/16319/14156/67849/13006/18005/66977/228421/108907/51944/12235/66934/14211/73804/20460/52276/12704/56150/110033/18817/71819/16571/70099/215387/78658/21335/68298/22137/214444/12236/268697/381293/18226/229841/230936/210711/70218/105988/381318/12237/56742/70385/72124/16211/105837/19384/24061/21974",62
"3","a","a","GO:0098813","nuclear chromosome segregation","73/1059","258/23210",1.24974625798417e-37,2.14081533992689e-34,1.59265909087667e-34,"54141/107995/54392/23834/11799/67141/30939/20877/21973/74335/71988/19357/26934/83815/67052/52563/16319/14156/67849/13006/108000/18005/66977/228421/108907/51944/12235/66934/13605/12448/14211/72787/73804/20460/52276/12704/56150/110033/18817/71819/211651/16571/237911/70099/215387/78658/21335/68298/22137/268465/214444/12236/108911/12190/268697/381293/18226/229841/230936/210711/70218/105988/381318/12237/56742/70385/72124/16211/12447/105837/19384/24061/21974",73
"4","a","a","GO:0000070","mitotic sister chromatid segregation","56/1059","146/23210",4.43074165157196e-37,5.69239533685708e-34,4.23485623118667e-34,"54141/107995/54392/23834/11799/67141/30939/20877/74335/19357/26934/67052/52563/16319/67849/18005/66977/228421/108907/51944/12235/66934/14211/73804/20460/52276/12704/56150/110033/18817/71819/16571/70099/215387/78658/21335/68298/22137/214444/12236/268697/381293/18226/229841/230936/70218/105988/381318/12237/56742/70385/72124/16211/105837/19384/24061",56
"5","a","a","GO:0140014","mitotic nuclear division","72/1059","257/23210",8.23854824783661e-37,8.46757988912647e-34,6.29945415497738e-34,"68612/54141/107995/16551/54392/23834/11799/17865/67141/30939/20877/74335/19357/67203/26934/67052/50850/52563/16319/67849/240641/13006/18005/66977/228421/108907/51944/12235/72119/20878/66934/14211/73804/20460/52276/12704/56150/110033/18817/17345/71819/16571/70099/215387/78658/223921/21335/68298/22137/214444/12236/268697/381293/18226/229841/230936/70218/105988/381318/12237/56742/70385/72124/16211/19385/12159/105837/16569/19384/66165/12649/24061",72
"6","a","a","GO:0000280","nuclear division","90/1059","409/23210",1.24379320259756e-36,1.06530887802481e-33,7.92536300321816e-34,"68612/54141/107995/16551/54392/23834/11799/17865/67141/30939/20877/21973/74335/19357/67203/26934/67052/50850/52563/16319/67849/240641/13006/18005/64707/66977/67121/228421/108907/19361/51944/12235/72119/20878/66934/12448/14211/72787/73804/20460/52276/12704/56150/110033/18817/17345/71819/12316/211651/16571/237911/70099/215387/78658/60530/223921/21335/68298/22137/268465/214444/12236/12190/268697/381293/18226/229841/230936/70218/105988/381318/12237/56742/70385/72124/16211/12447/12317/19385/12159/105837/16569/230861/19384/66165/12649/24061/21974/235559/623474",90
"7","a","a","GO:0006281","DNA repair","93/1059","464/23210",2.24483808107204e-34,1.64803184266131e-31,1.22605291886521e-31,"12544/68275/18140/14235/55982/27221/17218/18968/12189/19360/30939/67236/74335/71988/19357/14156/67849/13006/14048/22596/227525/19361/18538/66634/56456/14211/230484/19891/57434/12545/58186/17193/19362/12144/110033/211651/237911/70099/75317/60530/114741/226409/327762/76843/218973/268465/20937/234258/26909/208084/12190/216853/269582/212377/77011/16881/240087/60344/18861/17216/17688/18973/94232/110052/14165/56438/17217/110749/71702/17685/13194/98415/20833/17220/66165/272551/12649/11792/15312/24061/17215/15361/18148/15289/227867/211064/21974/12013/235559/97827/319955/15364/623474",93
"8","a","a","GO:0048285","organelle fission","91/1059","456/23210",1.70905432194071e-33,1.09785377005667e-30,8.16748065432719e-31,"68612/54141/107995/16551/54392/23834/11799/17865/67141/71804/30939/20877/21973/74335/19357/67203/26934/67052/50850/52563/16319/67849/240641/13006/18005/64707/66977/67121/228421/108907/19361/51944/12235/72119/20878/66934/12448/14211/72787/73804/20460/52276/12704/56150/110033/18817/17345/71819/12316/211651/16571/237911/70099/215387/78658/60530/223921/21335/68298/22137/268465/214444/12236/12190/268697/381293/18226/229841/230936/70218/105988/381318/12237/56742/70385/72124/16211/12447/12317/19385/12159/105837/16569/230861/19384/66165/12649/24061/21974/235559/623474",91
"9","a","a","GO:0044772","mitotic cell cycle phase transition","80/1059","356/23210",2.54361019250021e-33,1.45240141991762e-30,1.08051370984336e-30,"12544/13205/68612/14235/27214/104394/12189/23834/237877/11799/67141/12534/52679/20877/74335/19357/14199/67052/50850/52563/67849/240665/108000/67121/12235/19650/12428/54124/404710/12448/20460/19891/12545/12704/56150/17193/12144/77035/18817/12442/12530/21335/76843/22137/214444/12236/108911/268697/381293/269582/12532/229841/77011/27401/50875/12237/70385/12443/12449/636931/12447/18973/14165/105837/13194/57913/67628/50927/14056/19684/12649/319651/11792/235072/15170/15902/11504/12013/235559/52468",80
"10","a","a","GO:0007346","regulation of mitotic cell cycle","94/1059","493/23210",6.40262491674255e-33,3.29030894471399e-30,2.44782459974831e-30,"12544/13205/68612/27214/72349/16551/12189/23834/237877/11799/67141/12534/52679/19360/30939/20877/21973/74335/19357/14199/67052/52563/16319/67849/240641/13006/108000/18005/108907/12235/72119/19650/54124/20460/19891/12545/208628/12704/56150/17193/12144/74041/18817/17345/12530/21335/76843/22137/268465/214444/12236/108911/12190/268697/381293/269582/18226/12532/229841/77011/50875/12237/56742/70385/12443/12447/19385/18472/14165/12159/105837/17685/13194/57913/67628/14056/19684/12649/11792/24061/15289/235072/15170/21974/15902/11504/64074/17536/56710/14182/235559/17300/67874/52468",94
"11","a","a","GO:0044770","cell cycle phase transition","82/1059","394/23210",1.32296689991988e-31,6.18066081698935e-29,4.59810122536748e-29,"12544/13205/68612/14235/55982/27214/104394/12189/23834/237877/11799/67141/12534/52679/20877/74335/19357/14199/67052/50850/52563/67849/240665/108000/67121/12235/19650/12428/54124/404710/12448/20460/19891/12545/12704/56150/17193/12144/77035/18817/12442/12530/21335/76843/22137/214444/12236/108911/268697/381293/269582/12532/229841/77011/27401/50875/12237/70385/12443/12449/636931/12447/18973/14165/105837/13194/57913/67628/50927/14056/19684/12649/319651/11792/18148/235072/15170/15902/11504/12013/235559/52468",82
"12","a","a","GO:0006260","DNA replication","64/1059","243/23210",4.18940937874392e-31,1.79411456644708e-28,1.33473112838578e-28,"12544/68275/27214/27221/17218/18968/57441/23834/237877/67141/12534/52679/20135/67236/71988/107373/14156/18969/13006/19075/19076/70024/19361/18538/66634/12428/12448/19891/12545/72151/12144/114741/226409/327762/76843/218973/268465/208084/12190/212377/108961/77011/210711/16881/12447/17216/17688/18973/14165/17217/106344/110749/98415/20833/50927/17220/56452/272551/319651/24061/17215/18148/20133/14182",64
"13","a","a","GO:0006261","DNA-dependent DNA replication","45/1059","135/23210",5.49006285514556e-27,2.17026407789177e-24,1.61456747286548e-24,"12544/68275/27214/17218/18968/23834/237877/67141/52679/14156/18969/13006/19075/19076/70024/19361/18538/66634/12448/12545/72151/12144/226409/327762/218973/268465/12190/212377/108961/77011/210711/16881/12447/17216/17688/18973/17217/106344/98415/17220/56452/24061/17215/18148/14182",45
"14","a","a","GO:0045787","positive regulation of cell cycle","70/1059","349/23210",4.25747943850003e-26,1.56279905960369e-23,1.16264400907008e-23,"12544/13205/68612/54141/27214/72349/12189/23834/237877/11799/67141/12534/52679/20877/74335/19357/26934/67052/50850/14156/67849/240641/20873/227937/108907/12125/20878/13605/20460/12545/12704/56150/71819/12530/76843/108911/12190/268697/381293/18226/12532/229841/108961/50875/239336/56742/12443/12447/12317/19385/53817/18472/14165/105837/57913/16569/67628/230861/14056/19684/12649/11792/18432/18148/15289/15902/11504/64074/17536/14182",70
"15","a","a","GO:1901990","regulation of mitotic cell cycle phase transition","60/1059","259/23210",5.48417391455412e-26,1.87887798312624e-23,1.39779085316916e-23,"12544/13205/68612/27214/12189/23834/237877/11799/67141/12534/52679/20877/74335/19357/14199/67052/52563/67849/108000/12235/19650/20460/19891/12545/56150/17193/12144/18817/12530/76843/22137/214444/12236/108911/268697/381293/269582/12532/229841/77011/50875/12237/70385/12443/12447/14165/105837/13194/57913/67628/14056/19684/12649/11792/235072/15170/15902/11504/235559/52468",60
"16","a","a","GO:1901987","regulation of cell cycle phase transition","62/1059","290/23210",8.44923953220319e-25,2.71379012224951e-22,2.01892355137908e-22,"12544/13205/68612/55982/27214/12189/23834/237877/11799/67141/12534/52679/20877/74335/19357/14199/67052/52563/67849/108000/12235/19650/20460/19891/12545/56150/17193/12144/18817/12530/76843/22137/214444/12236/108911/268697/381293/269582/12532/229841/77011/50875/12237/70385/12443/12447/14165/105837/13194/57913/67628/14056/19684/12649/11792/18148/235072/15170/15902/11504/235559/52468",62
"17","a","a","GO:0051052","regulation of DNA metabolic process","77/1059","440/23210",1.27397415277979e-24,3.85114892419726e-22,2.86506137640631e-22,"14235/55982/27214/13433/57441/12189/237877/67141/12534/52679/19360/20877/71988/13006/14048/22596/18005/98956/19361/18538/18706/12428/230484/19891/12545/72151/58186/19362/12144/245474/75317/60530/226409/327762/21781/20937/208084/12190/216853/108961/77011/56351/60344/18861/11991/12462/53379/17688/94232/84505/53817/15519/110052/14165/12465/106344/17685/70640/74493/12469/98415/12466/12649/319651/12461/223828/24061/18148/15289/21454/21974/13435/219150/64074/15234/14182/319955",77
