"","Cluster","Gene_Clusters","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","a","a","GO:0007059","chromosome segregation","88/1059","317/23210",1.77842565068159e-44,9.13932941885269e-41,6.79920206660582e-41,"13205/54141/66442/107995/54392/12189/23834/11799/67141/30939/66140/20877/21973/74335/219114/71988/19357/67203/26934/83815/67052/52563/16319/14156/67849/13006/108000/18005/66977/228421/108907/51944/12235/66934/13605/67037/12448/14211/72787/73804/20460/52276/12704/56150/58186/110033/18817/17345/72155/71819/211651/16571/237911/70099/215387/78658/66468/21335/68298/22137/268465/214444/12236/108911/12190/268697/381293/18226/381280/26886/229841/230936/210711/108912/70218/105988/381318/12237/56742/70385/70645/72124/16211/12447/105837/19384/24061/21974",88
"5","a","a","GO:0140014","mitotic nuclear division","72/1059","257/23210",8.23854824783661e-37,8.46757988912647e-34,6.29945415497738e-34,"68612/54141/107995/16551/54392/23834/11799/17865/67141/30939/20877/74335/19357/67203/26934/67052/50850/52563/16319/67849/240641/13006/18005/66977/228421/108907/51944/12235/72119/20878/66934/14211/73804/20460/52276/12704/56150/110033/18817/17345/71819/16571/70099/215387/78658/223921/21335/68298/22137/214444/12236/268697/381293/18226/229841/230936/70218/105988/381318/12237/56742/70385/72124/16211/19385/12159/105837/16569/19384/66165/12649/24061",72
"7","a","a","GO:0006281","DNA repair","93/1059","464/23210",2.24483808107204e-34,1.64803184266131e-31,1.22605291886521e-31,"12544/68275/18140/14235/55982/27221/17218/18968/12189/19360/30939/67236/74335/71988/19357/14156/67849/13006/14048/22596/227525/19361/18538/66634/56456/14211/230484/19891/57434/12545/58186/17193/19362/12144/110033/211651/237911/70099/75317/60530/114741/226409/327762/76843/218973/268465/20937/234258/26909/208084/12190/216853/269582/212377/77011/16881/240087/60344/18861/17216/17688/18973/94232/110052/14165/56438/17217/110749/71702/17685/13194/98415/20833/17220/66165/272551/12649/11792/15312/24061/17215/15361/18148/15289/227867/211064/21974/12013/235559/97827/319955/15364/623474",93
"22","a","a","GO:0034502","protein localization to chromosome","31/1059","85/23210",2.4756713135777e-20,5.78294312748901e-18,4.30221923967188e-18,"68275/12534/20877/71988/19357/83815/67052/67849/66634/19891/12615/18817/245474/22137/12236/108911/12190/216853/12237/70385/12462/12465/105837/17685/74493/12469/12466/14056/12461/223828/21454",31
"30","a","a","GO:0072001","renal system development","53/1059","302/23210",2.31646751579554e-17,3.87232287618821e-15,2.88081373323001e-15,"16869/21410/445007/14634/74107/14048/108000/18128/228357/16449/12125/58198/56198/20474/231470/234865/18993/14234/83557/103468/14165/12159/13838/18510/55994/71805/14260/59015/13642/18654/17260/19378/218772/15902/243931/11600/107587/11504/18552/18186/269152/93840/14013/19126/14182/73230/76365/24063/18131/23967/17300/14734/15229",53
"51","a","a","GO:1905818","regulation of chromosome separation","23/1059","64/23210",2.81978261394691e-15,2.84134565746533e-13,2.113818463128e-13,"23834/11799/67141/30939/20877/74335/19357/67052/52563/12235/20460/12704/56150/18817/21335/22137/214444/12236/268697/229841/12237/70385/105837",23
"58","a","a","GO:1905819","negative regulation of chromosome separation","19/1059","44/23210",1.36285770429542e-14,1.207538921099e-12,8.983483088931e-13,"11799/67141/30939/20877/74335/19357/67052/12235/20460/56150/18817/22137/214444/12236/268697/229841/12237/70385/105837",19
"66","a","a","GO:0006403","RNA localization","35/1059","172/23210",6.90479403340974e-14,5.37632371783222e-12,3.99971482126702e-12,"68278/445007/21681/72787/54563/110379/245474/223921/227715/234865/216853/18226/15382/103468/432508/24015/72124/68879/53379/140486/53817/103573/225027/70640/23881/19384/140488/71805/12461/59015/107939/18148/21454/109095/276770",35
"98","a","a","GO:0140013","meiotic nuclear division","33/1059","179/23210",6.31370317187463e-12,3.31082863267997e-10,2.46309021699771e-10,"107995/67141/30939/21973/64707/66977/67121/228421/19361/12235/20878/12448/14211/72787/18817/12316/211651/237911/70099/215387/78658/60530/22137/268465/12236/12190/105988/12447/12317/230861/21974/235559/623474",33
"115","a","a","GO:0022613","ribonucleoprotein complex biogenesis","54/1059","439/23210",3.67624229864319e-11,1.64280079762847e-09,1.22216128408898e-09,"13205/103136/70683/56200/72068/56095/217869/67832/29806/98956/50911/74035/245474/67276/67678/225348/104662/20937/227715/72515/67936/217995/432508/24015/56351/57741/68879/20641/55944/27041/53817/103573/192159/15519/13669/27993/17975/67134/69639/56195/23881/19384/75593/110816/19656/18432/320790/226432/18148/72462/100503670/214572/320632/231464",54
