	Top	p.value	FDR	logFC.2	logFC.3	logFC.4	logFC.5
Aurkb	1	6.6586365293815e-75	1.58362352578282e-70	-7.37163348746989	-6.72799344278974	-1.95039440707189	-6.91128801152809
Tk1	1	6.41442400544287e-64	3.81385615303623e-60	-4.92754578116824	-7.74065112846769	-3.53749564918697	-4.63516272478573
Myh11	1	4.95086470978904e-49	9.8122012827427e-46	4.42159319409116	4.30812919188871	4.4523571874051	1.04131495610462
Cdca8	1	2.22335011226212e-46	3.525195714662e-43	-6.84273524406495	-4.88595091616654	-2.43821401649457	-7.12791470271152
Ccna2	2	1.16841256912409e-68	1.38941780657393e-64	-7.30797562717896	-6.96768519428654	-2.46589325539015	-7.12692720839657
Rrm2	2	1.48873865795832e-56	5.05809592888897e-53	-5.52120320375744	-7.94685698699535	-3.19173143336724	-5.42878090899579
Cks1b	2	3.83636250452745e-39	2.40105814329412e-36	-6.67921179963203	-5.92137180544953	-4.37146346065968	-6.21459246147227
Pirb	2	1.83893780552265e-34	6.15992363785147e-32	5.25803750523071	5.18195597944541	5.87631058664443	0.0704964374472336
Pimreg	3	7.41004852233185e-68	5.87443946688721e-64	-7.30454209124205	-5.91099761451465	-0.874660675194747	-7.01798852550674
Pclaf	3	8.96517654145094e-51	2.13218793685327e-47	-5.60087983909796	-7.56997892341564	-2.36631043047157	-5.16956926737242
Mad2l1	3	8.03150822385722e-38	3.97944500183323e-35	-6.00372170021546	-6.09932248643374	-3.32216521449435	-6.46878414689396
ENSMUSG00000107470	3	7.68702940846045e-27	1.18714688585334e-24	-3.0778608410848	-3.08407352689439	-3.19298420857486	-0.796379502998651
Prc1	4	4.11167899981751e-63	1.95576123305319e-59	-6.94827654002419	-5.74981017515619	-0.404395805404949	-6.95816904356425
Top2a	4	4.1570028091014e-56	1.23582497261073e-52	-7.22644635322177	-7.23911700290483	-2.25311281041885	-7.42979666514575
Shmt2	4	3.89936768583265e-31	9.00375356040364e-29	-5.63440715179461	-5.40378974296174	-5.11044633674626	-3.92138115110352
Hmgb2	4	3.00878838641315e-30	6.27701878895297e-28	-3.10798713554938	-2.88575628360935	-0.969891404942087	-3.51353253929318
Ube2c	5	6.8120015180372e-62	2.70016386839135e-58	-7.78503121538462	-3.9288110777241	-2.09918359906324	-6.83877360934103
Cdca3	5	7.64571672538817e-45	9.57042530946883e-42	-6.60106031029368	-5.81104059503644	-2.60012062480173	-7.02224431155434
Cd53	5	2.98976584123387e-29	5.8764959505839e-27	5.87950789733668	5.91205786969514	5.64414615390941	0.223241070396315
Lig1	6	2.44110663355017e-44	2.9028419532862e-41	-4.25968989725932	-7.05250563923747	-3.92069791083792	-2.83457820459681
Bub1b	6	7.38333645343549e-35	2.66057410412208e-32	-5.68450696745373	-4.28428091106693	-1.28726732901144	-6.50394217482203
Mcm2	6	7.20054310213832e-27	1.11928442221017e-24	-4.69099513857379	-6.30909662359051	-6.09788011665131	-4.01380769199365
Cdc20	7	6.83618209777866e-56	1.80649909812745e-52	-7.36615984310014	-4.20082464220825	-2.36667189089979	-6.88869311361677
Mcm5	7	5.41626773267715e-44	5.85523161301187e-41	-5.88473424054925	-7.66428586761523	-6.29150870821775	-5.17734464844251
Tpx2	7	5.7873651729126e-44	5.98438721336432e-41	-6.48225762392819	-4.97589088554031	-1.09221871065291	-6.94964900827115
Rpn1	7	3.4158179826721e-22	3.24953596327563e-20	-3.92660624630419	-3.91881248691097	-3.84237705465537	-1.57122569554196
Tacc3	8	2.85605152321662e-49	6.17504303424192e-46	-6.56195006125594	-5.63734471738031	-1.11311541453916	-6.5590081442364
Birc5	8	8.4515095891684e-46	1.25626407849496e-42	-7.07792348098276	-6.33999754131039	-3.03556160565302	-6.77178249882602
Spc24	8	1.36037679736461e-43	1.34807672382177e-40	-5.78329875151032	-6.35038769303615	-2.77718812995745	-5.33963355374292
Phgdh	8	6.50736613016889e-24	7.26594782506137e-22	-4.19538364253889	-4.2535044731032	-3.95534187819895	-3.08545640411121
Tyms	9	2.90250217132606e-43	2.76120836562589e-40	-5.51787281393632	-7.12439992066848	-3.65517791732525	-4.64861566005084
Kif11	9	4.28404794469505e-39	2.54718780671707e-36	-6.20029282458594	-5.34279636829377	-0.357443606376151	-7.42017984967845
Rps2	9	5.35110785713764e-20	4.07901917199695e-18	-0.647040447705451	-0.617445445743055	-0.861904286465345	0.464597637380437
Slc7a5	10	2.50787336702655e-48	4.58805786830713e-45	-6.09584375483914	-5.26740294454746	-3.47980494978186	-3.29251252900639
Pbk	10	2.836298818357e-41	2.10799046240578e-38	-6.67248453559549	-7.76893695599438	-2.90295245507405	-5.6576998411237
Mcm6	10	2.48161962734132e-30	5.26967496402307e-28	-4.60715246070912	-6.19374602314949	-5.67973978589129	-3.31273347560668
Mki67	10	2.02553977910447e-27	3.46571313427639e-25	-4.92902058647786	-4.93005310584348	-1.09061195104373	-5.62552238601777
Aurka	11	1.36621435889795e-47	2.32090543554786e-44	-6.86153108161153	-4.04518566535699	-1.42778635718914	-6.95587330253452
Ckap2l	11	1.1211221808752e-42	9.87542549176115e-40	-5.96630364098214	-3.8456368557854	-0.119177710594495	-6.65685110848993
